Название;Код товара;Цена;Напряжение аккумулятора;Max крутящий момент;Max диаметр сверления (металл);Max диаметр сверления (дерево);Вес;Емкость аккумулятора;Режимы работы;Тип двигателя;Класс товара;Число оборотов на холостом ходу (первая скорость) (max);Число оборотов на холостом ходу (вторая скорость) (max);Число оборотов на холостом ходу (первая скорость) (min);Число оборотов на холостом ходу (вторая скорость) (min);Размер зажимаемой оснастки (min)
Дрель-шуруповерт MAKITA DF347DWE;105649;12490.0;14.4;30.0;10;25;1.4;1.5;Сверление;щеточный;профессиональный;400;1400;400;1400;0.8
Аккумуляторный шуруповерт MAKITA DDF453SYE;89192;16990.0;18.0;42.0;13;36;1.8;1.5;Сверление;щеточный;профессиональный;400;1300;400;1300;1.3
Аккумуляторный шуруповерт MAKITA DF 333 DWYE [DF333DWYE];134933;11990.0;12.0;30.0;10;21;1.1;1.5;Сверление;щеточный;профессиональный;450;1700;450;1700;1.5
Аккумуляторная дрель-шуруповерт ВИХРЬ ДА-18Л-2К [72/14/9];104298;4311.0;18.0;45.0;12;30;1.3;2.0;Сверление;щеточный;бытовой;400;1400;400;1400;0.8
Дрель-шуруповерт аккумуляторная РЕСАНТА ДА-18-2ЛК [75/14/5];152224;7590.0;18.0;50.0;12;30;1.3;2.0;Сверление;щеточный;бытовой;400;1400;400;1400;0.8
Дрель-шуруповерт METABO PowerMaxx BS Basic 2х2,0 Ач, кейс [600080500] Зарядное устройство LC 40;85757;8209.0;12.0;34.0;10;18;0.8;2.0;;щеточный;;360;1400;360;1400;1.0
Дрель-шуруповерт аккумуляторная METABO PowerMaxx BS Basic 2х2,0 Ач, в коробке [600984000];160855;8190.0;10.8;34.0;10;18;0.8;2.0;Сверление;щеточный;;360;1400;360;1400;1.0
Дрель-шуруповерт аккумуляторная ИНТЕРСКОЛ ДА -18ЭР ( 2.0 А.ч. ) ПРОМО [436.2.2.20];173026;6690.0;18.0;35.0;10;25;1.1;2.0;Сверление/заворачивание;щеточный;бытовой;400;1400;400;1400;0.8
Дрель-шуруповерт аккумуляторная METABO PowerMaxx BS Basic 2х2,0 Ач, кейс [600984500] Зарядное устройство LC 12;85757;8338.0;12.0;34.0;10;18;0.8;2.0;;щеточный;;360;1400;360;1400;1.0
Дрель-шуруповерт аккумуляторная MAKITA DF 488 DWE [DF488DWE];196630;13990.0;18.0;42.0;13;36;1.433;1.5;Сверление/заворачивание;щеточный;профессиональный;400;1400;400;1400;1.3
Аккумуляторная дрель-шуруповерт DeWALT DCD 701 D2 бесщеточная [DCD701D2-QW];140256;21693.0;12.0;57.0;10;20;0.9;2.0;Сверление;бесщеточный;профессиональный;425;1500;425;1500;1.0
Дрель-шуруповерт аккумуляторная РЕСАНТА ДА-12-2ЛК [75/14/2];152228;5790.0;12.0;40.0;10;20;0.96;2.0;Сверление;щеточный;бытовой;400;1400;400;1400;0.8
Дрель-шуруповерт аккумуляторная РЕСАНТА ДА-14-2ЛК [75/14/4];152229;6390.0;14.4;45.0;10;25;1.25;2.0;Сверление;щеточный;бытовой;400;1400;400;1400;0.8
Дрель-шуруповерт аккумуляторная ИНТЕРСКОЛ ДА -13/18 ВК (2х2.0 Ач) [575.2.2.70];171116;9230.0;18.0;45.0;13;36;1.6;2.0;Сверление/заворачивание;бесщеточный;профессиональный;400;1700;400;1700;1.5
Аккумуляторная дрель-шуруповерт MAKITA DDF453RFE;88447;21990.0;18.0;42.0;13;36;1.8;3.0;Сверление;щеточный;профессиональный;400;1300;400;1300;1.0
Дрель-шуруповерт аккумуляторная METABO BS 18 L BL 2x2.0 Ач, бесщеточная [602326500];134796;16999.0;18.0;60.0;13;32;1.2;2.0;Сверление;бесщеточный;;500;1850;500;1850;1.5
Аккумуляторный шуруповерт BOSCH GSR 12V-30 бесщеточная [06019G9020];142613;12205.0;12.0;30.0;10;20;;2.0;Сверление;бесщеточный;;420;1600;420;1600;1.5
Аккумуляторный шуруповерт ИНТЕРСКОЛ ДА-12ЭР-02 (1,5 А.ч.) [534.0.2.01];105322;5290.0;12.0;28.0;10;20;0.96;1.5;Сверление/заворачивание;щеточный;бытовой;400;1400;400;1400;0.8
Дрель-шуруповерт аккумуляторная ЗУБР ДШЛ-185-22;193590;8980.0;18.0;32.0;12;28;1.53;2.0;Сверление/заворачивание;щеточный;;400;1400;400;1400;2.0
Аккумуляторный шуруповерт MAKITA DDF 453 SYX5 [DDF453SYX5];131116;11520.0;18.0;42.0;13;36;1.8;1.5;Сверление;щеточный;профессиональный;400;1300;400;1300;1.0
Аккумуляторная дрель-шуруповерт DeWALT DCD780С2 [DCD780C2-QW];70886;22448.0;18.0;70.0;13;38;1.55;1.5;Сверление;щеточный;профессиональный;600;2000;600;2000;1.5
Аккумуляторная дрель-шуруповерт BOSCH GSB 120 LI ударная [06019G8100];116251;8827.0;12.0;28.0;6;19;1.0;2.0;Сверление/сверлениесударом;щеточный;;400;1300;400;1300;0.3
Дрель-шуруповерт аккумуляторная ЗУБР DBS-201-42;213562;23110.0;20.0;70.0;13;45;1.7;4.0;Сверление/заворачивание/сверлениесударом;бесщеточный;;500;1800;500;1800;1.0
Дрель-шуруповерт аккумуляторная ИНТЕРСКОЛ ДА-10/18В [709.1.2.70];218411;7699.0;18.0;42.0;11;32;0.82;1.5;Сверление/заворачивание;бесщеточный;профессиональный;;;450;1500;
Дрель-шуруповерт аккумуляторная ЗУБР DL-201-22;213350;13060.0;20.0;50.0;10;35;1.3;2.0;Сверление/заворачивание;щеточный;;400;1350;400;1350;0.8
Дрель-шуруповерт аккумуляторная ЗУБР DL-121-22F;213349;9440.0;12.0;40.0;10;22;1.0;2.0;Сверление/заворачивание;щеточный;;400;1350;400;1350;0.8
Аккумуляторная дрель-шуруповерт METABO BS 14.4 2х2,0 Ач, с набором оснастки [602206880];96500;19941.0;14.4;40.0;10;20;5.57;2.0;Сверление;щеточный;;400;1500;400;1500;
Дрель-шуруповерт аккумуляторная ИНТЕРСКОЛ ДА-10/14,4В МиниМАКС бесщеточная [708.2.2.70];213640;9190.0;14.4;38.0;;30;1.1;2.0;Сверление/заворачивание;бесщеточный;профессиональный;450;1500;450;1500;0.8
