Название;Код товара;Цена;Напряжение аккумулятора;Тип аккумулятора;Max крутящий момент;Max диаметр сверления (металл);Max диаметр сверления (дерево);Вес;Размер зажимаемой оснастки (max);Емкость аккумулятора;Режимы работы;Тип питания;Тип патрона;Количество скоростей;Комплектация;Тип двигателя;Подсветка;Количество аккумуляторов в комплекте;Ленточные (магазинные);Реверс;Угловая;Режим удара;С фонарем;Производство;Импульсные;Набор оснастки;Класс товара;Число оборотов на холостом ходу (первая скорость) (max);Число оборотов на холостом ходу (вторая скорость) (max);Блокировка шпинделя;Число оборотов на холостом ходу (первая скорость) (min);Число оборотов на холостом ходу (вторая скорость) (min);Размер зажимаемой оснастки (min)
Дрель-шуруповерт MAKITA DF347DWE;105649;12490;14.4;Li-Ion ;30.0;10;25;1.4;10;1.5;Сверление ;Аккумуляторный ;быстрозажимной ;2;кейс ;щеточный ;нет ;2;нет ;есть ;нет ;нет ;нет ;Китай ;нет ;нет ;профессиональный ;400;1400;есть ;400;1400;0.8
Аккумуляторный шуруповерт MAKITA DDF453SYE;89192;16990;18.0;Li-Ion ;42.0;13;36;1.8;13;1.5;;;;;;;;;;;;;;;;;;;;;;;
Аккумуляторный шуруповерт MAKITA DF 333 DWYE [DF333DWYE];134933;11990;12.0;Li-Ion ;30.0;10;21;1.1;13;1.5;Сверление ;Аккумуляторный ;быстрозажимной ;2;кейс ;щеточный ;есть ;2;нет ;есть ;нет ;нет ;нет ;Китай ;нет ;нет ;профессиональный ;450;1700;есть ;450;1700;1.5
Дрель-шуруповерт аккумуляторная РЕСАНТА ДА-18-2ЛК [75/14/5];152224;7590;18.0;Li-Ion ;50.0;12;30;1.3;10;2.0;Сверление ;Аккумуляторный ;быстрозажимной ;2;кейс ;щеточный ;есть ;2;нет ;есть ;нет ;нет ;нет ;Китай ;нет ;нет ;бытовой ;400;1400;есть ;400;1400;0.8
Дрель-шуруповерт METABO PowerMaxx BS Basic 2х2,0 Ач, кейс [600080500] Зарядное устройство LC 40;85757;8209;12.0;Li-Ion ;34.0;10;18;0.8;10;2.0;;Аккумуляторный ;быстрозажимной ;2;кейс ;щеточный ;есть ;2;;есть ;;нет ;;;;;;360;1400;есть ;360;1400;1.0
Дрель-шуруповерт аккумуляторная METABO PowerMaxx BS Basic 2х2,0 Ач, в коробке [600984000];160855;8190;10.8;Li-Ion ;34.0;10;18;0.8;10;2.0;Сверление ;Аккумуляторный ;быстрозажимной ;2;коробка ;щеточный ;есть ;2;;;;;;;;;;;;;;;
Дрель-шуруповерт аккумуляторная MAKITA DF 488 DWE [DF488DWE];196630;13990;18.0;Li-Ion ;42.0;13;36;1.433;13;1.5;Сверление/заворачивание ;Аккумуляторный ;быстрозажимной ;2;;щеточный ;есть ;2;нет ;есть ;нет ;нет ;нет ;Китай ;нет ;нет ;профессиональный ;400;1400;есть ;400;1400;1.3
Дрель-шуруповерт аккумуляторная ИНТЕРСКОЛ ДА -18ЭР ( 2.0 А.ч. ) ПРОМО [436.2.2.20];173026;6690;18.0;Li-Ion ;35.0;10;25;1.1;10;2.0;Сверление/заворачивание ;Аккумуляторный ;быстрозажимной ;2;кейс ;щеточный ;есть ;2;нет ;есть ;нет ;нет ;нет ;Китай ;нет ;нет ;бытовой ;400;1400;есть ;400;1400;0.8
Аккумуляторный шуруповерт BOSCH GSR 12V-30 бесщеточная [06019G9020];142613;12200;12.0;Li-Ion ;30.0;10;20;;10;2.0;Сверление ;Аккумуляторный ;быстрозажимной ;2;кейс ;бесщеточный ;есть ;;;;;;;;;;;;;;;;
Аккумуляторная дрель-шуруповерт DeWALT DCD 701 D2 бесщеточная [DCD701D2-QW];140256;20634;12.0;Li-Ion ;57.0;10;20;0.9;10;2.0;Сверление ;Аккумуляторный ;быстрозажимной ;2;кейс ;бесщеточный ;есть ;2;нет ;;;;;;;;;;;;;;
Аккумуляторная дрель-шуруповерт MAKITA DDF453RFE;88447;21990;18.0;Li-Ion ;42.0;13;36;1.8;13;3.0;Сверление ;Аккумуляторный ;быстрозажимной ;2;кейс ;щеточный ;нет ;2;нет ;есть ;нет ;нет ;нет ;Китай ;нет ;нет ;профессиональный ;400;1300;есть ;400;1300;1.0
Дрель-шуруповерт аккумуляторная METABO PowerMaxx BS Basic 2х2,0 Ач, кейс [600984500] Зарядное устройство LC 12;85757;8338;12.0;Li-Ion ;34.0;10;18;0.8;10;2.0;;Аккумуляторный ;быстрозажимной ;2;кейс ;щеточный ;есть ;2;;есть ;;нет ;;;;;;360;1400;есть ;360;1400;1.0
